prestg10,educ,race,mawrkgrw,unrelat,colath,popular,divlaw,letdie1,helpfulv
28.0,7.0,black,,,not allowed,,,,
36.0,10.0,black,,0.0,"yes, allowed to teach",,,,
46.0,6.0,white,,,not allowed,,,,
42.0,8.0,white,,0.0,not allowed,,,,
,7.0,white,,0.0,not allowed,,,,
,8.0,white,,0.0,not allowed,,,,
,9.0,white,,0.0,not allowed,,,,
28.0,12.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
,8.0,white,,0.0,not allowed,,,,
,11.0,white,,0.0,not allowed,,,,
,8.0,white,,0.0,not allowed,,,,
64.0,17.0,white,,0.0,not allowed,,,,
,4.0,white,,0.0,not allowed,,,,
35.0,2.0,white,,0.0,"yes, allowed to teach",,,,
42.0,11.0,white,,0.0,not allowed,,,,
39.0,12.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,"yes, allowed to teach",,,,
35.0,11.0,white,,0.0,"yes, allowed to teach",,,,
61.0,17.0,white,,,"yes, allowed to teach",,,,
31.0,7.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
35.0,10.0,white,,0.0,not allowed,,,,
50.0,12.0,white,,0.0,"yes, allowed to teach",,,,
44.0,12.0,white,,0.0,not allowed,,,,
35.0,9.0,white,,0.0,not allowed,,,,
25.0,10.0,white,,0.0,not allowed,,,,
36.0,12.0,white,,0.0,"yes, allowed to teach",,,,
24.0,12.0,white,,0.0,"yes, allowed to teach",,,,
32.0,9.0,white,,0.0,not allowed,,,,
57.0,14.0,white,,0.0,"yes, allowed to teach",,,,
36.0,12.0,white,,0.0,not allowed,,,,
17.0,11.0,white,,0.0,not allowed,,,,
46.0,12.0,white,,,not allowed,,,,
25.0,11.0,white,,0.0,"yes, allowed to teach",,,,
46.0,8.0,white,,,not allowed,,,,
53.0,16.0,white,,,"yes, allowed to teach",,,,
,12.0,white,,0.0,not allowed,,,,
,7.0,white,,0.0,not allowed,,,,
39.0,15.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,not allowed,,,,
,9.0,white,,0.0,not allowed,,,,
35.0,12.0,white,,0.0,not allowed,,,,
,9.0,white,,0.0,"yes, allowed to teach",,,,
62.0,12.0,white,,0.0,not allowed,,,,
,15.0,white,,0.0,not allowed,,,,
,11.0,white,,0.0,"yes, allowed to teach",,,,
27.0,10.0,white,,0.0,"yes, allowed to teach",,,,
,13.0,black,,0.0,"yes, allowed to teach",,,,
53.0,15.0,black,,0.0,"yes, allowed to teach",,,,
38.0,12.0,black,,0.0,"yes, allowed to teach",,,,
,14.0,black,,0.0,,,,,
,12.0,black,,0.0,"yes, allowed to teach",,,,
45.0,12.0,black,,0.0,"yes, allowed to teach",,,,
33.0,13.0,black,,0.0,not allowed,,,,
60.0,14.0,black,,0.0,not allowed,,,,
35.0,12.0,black,,2.0,"yes, allowed to teach",,,,
39.0,8.0,white,,,not allowed,,,,
,12.0,white,,0.0,not allowed,,,,
,8.0,white,,0.0,not allowed,,,,
44.0,12.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
38.0,4.0,white,,,"yes, allowed to teach",,,,
32.0,12.0,white,,0.0,not allowed,,,,
35.0,9.0,white,,0.0,,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
,7.0,white,,0.0,not allowed,,,,
,6.0,white,,0.0,,,,,
,5.0,white,,0.0,"yes, allowed to teach",,,,
,5.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,not allowed,,,,
35.0,12.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
,9.0,white,,0.0,,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
,10.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,not allowed,,,,
46.0,8.0,white,,0.0,not allowed,,,,
46.0,8.0,white,,0.0,"yes, allowed to teach",,,,
46.0,11.0,white,,0.0,not allowed,,,,
40.0,12.0,white,,0.0,not allowed,,,,
40.0,11.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
69.0,12.0,white,,,not allowed,,,,
25.0,11.0,white,,,not allowed,,,,
64.0,19.0,white,,0.0,"yes, allowed to teach",,,,
61.0,16.0,white,,0.0,not allowed,,,,
48.0,12.0,white,,0.0,"yes, allowed to teach",,,,
45.0,12.0,white,,0.0,"yes, allowed to teach",,,,
38.0,12.0,white,,0.0,not allowed,,,,
,11.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,not allowed,,,,
43.0,16.0,white,,0.0,"yes, allowed to teach",,,,
53.0,11.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,not allowed,,,,
37.0,12.0,white,,0.0,"yes, allowed to teach",,,,
24.0,7.0,white,,0.0,"yes, allowed to teach",,,,
49.0,12.0,white,,0.0,"yes, allowed to teach",,,,
31.0,10.0,white,,0.0,"yes, allowed to teach",,,,
38.0,14.0,white,,0.0,not allowed,,,,
46.0,10.0,white,,0.0,"yes, allowed to teach",,,,
25.0,9.0,white,,0.0,"yes, allowed to teach",,,,
50.0,8.0,white,,0.0,not allowed,,,,
,8.0,white,,0.0,not allowed,,,,
53.0,17.0,white,,,"yes, allowed to teach",,,,
64.0,16.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
38.0,15.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
59.0,12.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,not allowed,,,,
24.0,15.0,white,,0.0,"yes, allowed to teach",,,,
60.0,12.0,white,,0.0,"yes, allowed to teach",,,,
64.0,13.0,white,,0.0,not allowed,,,,
36.0,13.0,white,,0.0,"yes, allowed to teach",,,,
59.0,12.0,white,,3.0,"yes, allowed to teach",,,,
69.0,14.0,white,,0.0,not allowed,,,,
